,Name,Review,Rating,No_of_Reviews,No_of_Followers,Cost,Cuisines,Mean Rating,Mean Reviews,Mean Followers
0,Beyond Flavours,ambience good food quite good saturday lunch cost effective good place sate brunch one also chill friends parentswaiter soumen das really courteous helpful,5.0,1.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
1,Beyond Flavours,ambience good pleasant evening service prompt food good good experience soumen das kudos service,5.0,3.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
2,Beyond Flavours,must try great food great ambience thnx service pradeep subroto personal recommendation penne alfredo pasta also music background amazing,5.0,2.0,3,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
3,Beyond Flavours,soumen das arun great guy behavior sincerety good food course would like visit place,5.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
4,Beyond Flavours,food goodwe ordered kodi drumsticks basket mutton biryani good thanks pradeep served well enjoyed ambience also good,5.0,3.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
5,Beyond Flavours,ambiance good service good food apradeecp subro best servicefood good papiya good hostess ur caption good 4star restaurant,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
6,Beyond Flavours,nice place ambience different food ordered tasty service also gud worth visit reasonable well really must visit place,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
7,Beyond Flavours,well reading many reviews finally visited placeambience good coming food crispy corn nice tawa fish ok basket biryani disappointed us biryani ok flattering claimed staff polite prompt especially pradeep suman,4.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
8,Beyond Flavours,excellent food specially like spicy food courteous staff shubro pradeep papiya gave excellent service corporate team dinner overall great team dinners party,5.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
9,Beyond Flavours,came birthday treat close friend perfect place treat like hospitable cooperative staff food delicious ambience really good music lighting chili honey lotus stem must try special mention papiya took good care us,5.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
10,Beyond Flavours,service great food awesome service staff manab papiya courteous attentive would like come frequently place,5.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
11,Beyond Flavours,good ambience amazing food good service friendly staff pradeep papiya shuvro definitely visit loved design menu card,5.0,3.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
12,Beyond Flavours,food good soup expected starters ordered honey chilli lotus stem must try vegan ppl service great frequent visits papiya know experience also food really impressive,5.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
13,Beyond Flavours,food good telangana kodiak fry must trymutton biriyani goodpapiya helped choose best dishes attended wellmust visit,5.0,2.0,25,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
14,Beyond Flavours,ordered corn cheese balls manchow soup paneer shashlik sizzler sizzler stale paneer smelling waiter impolite even accept mistake never going,1.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
15,Beyond Flavours,food ambience fantastic waiter manav maji really quick service cheese balls must try starter scrumptious,5.0,4.0,7,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
16,Beyond Flavours,came lunch food good tasty tried buffet items veg nonveg tastythe ambience service also good staff courteousshubhamtraveltaleswordpresscom,4.0,30.0,34,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
17,Beyond Flavours,best thing place food favorite go dish definitely alfredo pasta although items good well service behavior staff topnotch attended mr soumen das extremely polite definitely visit soon,5.0,6.0,267,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
18,Beyond Flavours,polite friendly staff nice ambience good spread menu drinks awesome service good manav looking forward seeing,5.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
19,Beyond Flavours,food really good vegetarian items including paneer mushroom kofta additionally service papiya shuvro really good,5.0,1.0,33,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
20,Beyond Flavours,beautiful cozy classy time place truly recommended special days 15 percent corporate discounts treat cotorie well without burning hole ur pocket also interior done well love vibe menu honey chilli lotus stems basket biryanis sizzling brownies favourite also loved tomato basil shorba different creamy standards restaurants im definitely making visits beyond flavours special mention papiya hostess evening excellent service,5.0,72.0,762,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
21,Beyond Flavours,please good quite expensive coming taste rate 3 5 cant click better pictures wen visit nightbest day time pics,4.0,6.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
22,Beyond Flavours,service good fast even people polite well behaving manav pradeep good hope everyone behaves way,4.0,2.0,2,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
23,Beyond Flavours,farewell feast recently enjoyed well good management boys gave complimentary food made us happyfood perfect desserts starters wonderful,5.0,8.0,25,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
24,Beyond Flavours,excellent experience mouthwatering food good ambience must go place hyderabad served shubhro papiya awesome behaviour enjoyable evening friends,5.0,1.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
25,Beyond Flavours,place good 5 live music superb beautiful voice food nice n loved lightningentrance also nice,5.0,3.0,0,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
26,Beyond Flavours,sonalin great voice must visit place became fan food good 5 star side live music lightening everything awesome,5.0,2.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
27,Beyond Flavours,heard voiceshe beautiful amazing voice love voice way sings became fan sonalin priyadarshini good place must visit food also nice,5.0,1.0,26,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
28,Beyond Flavours,sonalin good singer city beautiful face beautiful face must visit place beautiful live music loved loved food well good lightning,5.0,9.0,5,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
29,Beyond Flavours,food descent enough desert options also goodstarrers also tastyone bad experience ee waiting time even though booked table prior time,4.0,3.0,3,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
30,Beyond Flavours,short review decent breads starters bad shaam savera little screwed daal makhni oneoff case better ambience night importantly good quantityi wanted give 25 thats option extensiveambience better night friends day didnt like much prefer ambience go nightfood ordered hara bhara kebab shaam savera daal makhni rotis raita yes im vegetarian good part quantity excited see shaam savera menu take want order close messed real bad especially colorsthe daal makhni big chunks garlic cloves spoiled wasnt creamy breads raita decentthe hara bhara kebabs decent soft extra outer coating peanuts youre peanut fan kebabs ask skip step conclusion looked like made food hurrywould like give place another try hoping mine one odd cases things change youll know,3.0,9.0,8,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
31,Beyond Flavours,excellent food good service soumen dasambience good live music food served timely decor restaurant amazing well,5.0,1.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
32,Beyond Flavours,review place would 5star ambeince service staff lacks lots place even though food good places like special hey papiya shuvro,5.0,3.0,1,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
33,Beyond Flavours,nice experience food amazing friendly staff welcoming attitude papia friendly accommodating good ambiance definitely recommend place,5.0,3.0,190,800,chinese continental kebab european south indian north indian,4.03,1.31,1.75
